Time,x1,x2,x3,y
0.2,0.0017849273526704913,1.5398653480352778e-06,1.0358837087902944e-07,1.0358837087902944e-07
0.201,0.0017935239356669744,1.555022909639391e-06,1.0513580904994153e-07,1.0513580904994153e-07
0.202,0.0018021173353333713,1.5702519464605962e-06,1.0669844052338011e-07,1.0669844052338011e-07
0.203,0.0018107075528484746,1.585552418741588e-06,1.0827633675468219e-07,1.0827633675468219e-07
0.20400000000000001,0.0018192945893906406,1.600924286742075e-06,1.0986956915943598e-07,1.0986956915943598e-07
0.20500000000000002,0.0018278784461377895,1.6163675107387717e-06,1.1147820911349793e-07,1.1147820911349793e-07
0.20600000000000002,0.0018364591242674049,1.6318820510253934e-06,1.131023279530097e-07,1.131023279530097e-07
0.20700000000000002,0.0018450366249565346,1.647467867912648e-06,1.1474199697441513e-07,1.1474199697441513e-07
0.20800000000000002,0.0018536109493817907,1.6631249217282305e-06,1.163972874344773e-07,1.163972874344773e-07
0.209,0.001862182098719349,1.6788531728168156e-06,1.1806827055029545e-07,1.1806827055029545e-07
0.21,0.0018707500741449506,1.694652581540051e-06,1.1975501749932202e-07,1.1975501749932202e-07
0.211,0.0018793148768339006,1.7105231082765513e-06,1.2145759941937951e-07,1.2145759941937951e-07
0.212,0.001887876507961069,1.726464713421891e-06,1.2317608740867758e-07,1.2317608740867758e-07
0.213,0.0018964349687008908,1.7424773573885975e-06,1.2491055252582994e-07,1.2491055252582994e-07
0.214,0.0019049902602273662,1.758561000606145e-06,1.2666106578987127e-07,1.2666106578987127e-07
0.215,0.0019135423837140606,1.7747156035209474e-06,1.284276981802742e-07,1.284276981802742e-07
0.216,0.0019220913403341048,1.790941126596352e-06,1.3021052063696622e-07,1.3021052063696622e-07
0.217,0.001930637131260195,1.8072375303126325e-06,1.320096040603467e-07,1.320096040603467e-07
0.218,0.0019391797576645937,1.8236047751669822e-06,1.338250193113037e-07,1.338250193113037e-07
0.219,0.0019477192207191286,1.840042821673508e-06,1.3565683721123093e-07,1.3565683721123093e-07
0.22,0.001956255521595194,1.8565516303632232e-06,1.3750512854204465e-07,1.3750512854204465e-07
0.221,0.0019647886614637504,1.873131161784041e-06,1.393699640462006e-07,1.393699640462006e-07
0.222,0.0019733186414953243,1.8897813765007679e-06,1.412514144267109e-07,1.412514144267109e-07
0.223,0.001981845462860009,1.9065022350950969e-06,1.4314955034716086e-07,1.4314955034716086e-07
0.224,0.0019903691267274645,1.923293698165601e-06,1.45064442431726e-07,1.45064442431726e-07
0.225,0.001998889634266918,1.9401557263277266e-06,1.469961612651888e-07,1.469961612651888e-07
0.226,0.002007406986647163,1.9570882802137866e-06,1.489447773929556e-07,1.489447773929556e-07
0.227,0.002015921185036561,1.9740913204729537e-06,1.509103613210736e-07,1.509103613210736e-07
0.228,0.00202443223060304,1.991164807771255e-06,1.5289298351624743e-07,1.5289298351624743e-07
0.229,0.0020329401245140965,2.008308702791563e-06,1.548927144058563e-07,1.548927144058563e-07
0.23,0.002041444867936794,2.025522966233591e-06,1.5690962437797064e-07,1.5690962437797064e-07
0.231,0.0020499464620377635,2.042807558813886e-06,1.5894378378136908e-07,1.5894378378136908e-07
0.232,0.002058444907983205,2.060162441265821e-06,1.6099526292555514e-07,1.6099526292555514e-07
0.233,0.002066940206938886,2.0775875743395906e-06,1.6306413208077419e-07,1.6306413208077419e-07
0.234,0.0020754323600701424,2.0950829188022018e-06,1.6515046147803014e-07,1.6515046147803014e-07
0.23500000000000001,0.0020839213685418787,2.112648435437469e-06,1.6725432130910233e-07,1.6725432130910233e-07
0.23600000000000002,0.002092407233518568,2.1302840850460074e-06,1.6937578172656236e-07,1.6937578172656236e-07
0.23700000000000002,0.002100889956164252,2.147989828445225e-06,1.7151491284379078e-07,1.7151491284379078e-07
0.23800000000000002,0.002109369537642541,2.165765626469318e-06,1.7367178473499397e-07,1.7367178473499397e-07
0.23900000000000002,0.0021178459791166156,2.183611439969263e-06,1.758464674352209e-07,1.758464674352209e-07
0.24,0.002126319281749225,2.20152722981281e-06,1.780390309403799e-07,1.780390309403799e-07
0.241,0.0021347894467026876,2.219512956884476e-06,1.8024954520725542e-07,1.8024954520725542e-07
0.242,0.002143256475138892,2.2375685820855403e-06,1.8247808015352483e-07,1.8247808015352483e-07
0.243,0.0021517203682192955,2.2556940663340348e-06,1.8472470565777516e-07,1.8472470565777516e-07
0.244,0.0021601811271049266,2.2738893705647395e-06,1.8698949155951983e-07,1.8698949155951983e-07
0.245,0.0021686387529563826,2.2921544557291754e-06,1.8927250765921542e-07,1.8927250765921542e-07
0.246,0.002177093246933832,2.310489282795598e-06,1.915738237182784e-07,1.915738237182784e-07
0.247,0.0021855446101970133,2.3288938127489904e-06,1.938935094591018e-07,1.938935094591018e-07
0.248,0.0021939928439052357,2.3473680065910566e-06,1.9623163456507212e-07,1.9623163456507212e-07
0.249,0.002202437949217379,2.3659118253402155e-06,1.985882686805858e-07,1.985882686805858e-07
0.25,0.002210879927291894,2.384525230031594e-06,2.0096348141106614e-07,2.0096348141106614e-07
0.251,0.0022193187792868023,2.4032081817170202e-06,2.0335734232297987e-07,2.0335734232297987e-07
0.252,0.0022277545063596966,2.421960641465018e-06,2.057699209438539e-07,2.057699209438539e-07
0.253,0.002236187109667741,2.440782570360798e-06,2.0820128676229202e-07,2.0820128676229202e-07
0.254,0.002244616590367672,2.459673929506254e-06,2.106515092279916e-07,2.106515092279916e-07
0.255,0.002253042949615796,2.478634680019954e-06,2.1312065775176016e-07,2.1312065775176016e-07
0.256,0.002261466188567993,2.4976647830371344e-06,2.156088017055322e-07,2.156088017055322e-07
0.257,0.0022698863083797137,2.516764199709695e-06,2.1811601042238577e-07,2.1811601042238577e-07
0.258,0.0022783033102059817,2.53593289120619e-06,2.206423531965591e-07,2.206423531965591e-07
0.259,0.002286717195201392,2.5551708187118223e-06,2.231878992834674e-07,2.231878992834674e-07
0.26,0.0022951279645201136,2.5744779434284375e-06,2.2575271789971927e-07,2.2575271789971927e-07
0.261,0.0023035356193158866,2.593854226574517e-06,2.2833687822313362e-07,2.2833687822313362e-07
0.262,0.002311940160742024,2.6132996293851716e-06,2.3094044939275604e-07,2.3094044939275604e-07
0.263,0.002320341589951413,2.6328141131121343e-06,2.335635005088756e-07,2.335635005088756e-07
0.264,0.0023287399080965123,2.652397639023755e-06,2.362061006330414e-07,2.362061006330414e-07
0.265,0.002337135116329355,2.672050168404992e-06,2.388683187880792e-07,2.388683187880792e-07
0.266,0.0023455272158015472,2.6917716625574084e-06,2.41550223958108e-07,2.41550223958108e-07
0.267,0.0023539162076642688,2.7115620827991623e-06,2.4425188508855665e-07,2.4425188508855665e-07
0.268,0.0023623020930682724,2.731421390465002e-06,2.469733710861805e-07,2.469733710861805e-07
0.269,0.002370684873163886,2.7513495469062602e-06,2.49714750819078e-07,2.49714750819078e-07
0.27,0.00237906454910101,2.771346513490845e-06,2.52476093116707e-07,2.52476093116707e-07
0.271,0.002387441122029121,2.7914122516032363e-06,2.552574667699018e-07,2.552574667699018e-07
0.272,0.0023958145930972675,2.811546722644477e-06,2.580589405308893e-07,2.580589405308893e-07
0.273,0.002404184963454075,2.8317498880321674e-06,2.608805831133058e-07,2.608805831133058e-07
0.274,0.0024125522342477415,2.852021709200459e-06,2.637224631922134e-07,2.637224631922134e-07
0.275,0.0024209164066260414,2.8723621476000477e-06,2.665846494041167e-07,2.665846494041167e-07
0.276,0.0024292774817363232,2.8927711646981666e-06,2.694672103469792e-07,2.694672103469792e-07
0.277,0.0024376354607255108,2.9132487219785805e-06,2.7237021458024e-07,2.7237021458024e-07
0.278,0.0024459903447401035,2.9337947809415786e-06,2.752937306248301e-07,2.752937306248301e-07
0.279,0.002454342134926176,2.954409303103969e-06,2.7823782696318915e-07,2.7823782696318915e-07
0.28,0.0024626908324293785,2.9750922499990705e-06,2.812025720392818e-07,2.812025720392818e-07
0.281,0.002471036438394937,2.995843583176708e-06,2.841880342586143e-07,2.841880342586143e-07
0.28200000000000003,0.002479378953967653,3.0166632642032045e-06,2.8719428198825106e-07,2.8719428198825106e-07
0.28300000000000003,0.002487718380291905,3.037551254661376e-06,2.9022138355683083e-07,2.9022138355683083e-07
